antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'subject=crime'}),frozenset({'subject=criminal-justice'}),0.04012727594131165,0.020505568322432385,0.012197277709033056,0.3039647577092511,14.823522710010632,1.0,0.011374445110625393,1.4072483290557458,0.971524274695065,0.25182481751824815,0.2893933648008001,0.4493961719580738
frozenset({'subject=criminal-justice'}),frozenset({'subject=crime'}),0.020505568322432385,0.04012727594131165,0.012197277709033056,0.5948275862068965,14.82352271001063,1.0,0.011374445110625393,2.369047574272507,0.9520622291272699,0.25182481751824815,0.5778894392582713,0.4493961719580738
frozenset({'subject=environment'}),frozenset({'subject=energy'}),0.03553120028283543,0.04030404808202227,0.015202404101113665,0.42786069651741293,10.61582438683774,1.0,0.013770352896502303,1.6773816203088134,0.9391708722635204,0.25072886297376096,0.4038327427148655,0.40252683948677664
frozenset({'subject=energy'}),frozenset({'subject=environment'}),0.04030404808202227,0.03553120028283543,0.015202404101113665,0.37719298245614036,10.61582438683774,1.0,0.013770352896502303,1.5485837065881236,0.9438416428568369,0.25072886297376096,0.3542486623450121,0.40252683948677664
frozenset({'subject=state-finances'}),frozenset({'subject=state-budget'}),0.02174297330740675,0.06593600848506276,0.015202404101113665,0.6991869918699187,10.60402362736764,1.0,0.013768759228626,3.1051316474685753,0.9258263924492145,0.2097560975609756,0.6779524627191768,0.4648749972754419
frozenset({'subject=state-budget'}),frozenset({'subject=state-finances'}),0.06593600848506276,0.02174297330740675,0.015202404101113665,0.23056300268096513,10.60402362736764,1.0,0.013768759228626,1.2713932785935096,0.9696296850518458,0.2097560975609756,0.2134613130043765,0.4648749972754419
frozenset({'subject=deficit'}),frozenset({'subject=federal-budget'}),0.018030758352483647,0.06805727417359024,0.012197277709033056,0.6764705882352942,9.939724980901453,1.0,0.010970153444280324,2.880550243463449,0.9159081125503855,0.16507177033492823,0.6528441042577882,0.42784568372803666
frozenset({'subject=terrorism'}),frozenset({'subject=foreign-policy'}),0.03358670673501856,0.05161746508750221,0.01237404984974368,0.3684210526315789,7.137527036770007,1.0,0.010640389187444685,1.5016056802781217,0.8897802398808435,0.1699029126213592,0.3340462059155344,0.3040735400144196
frozenset({'subject=foreign-policy'}),frozenset({'subject=terrorism'}),0.05161746508750221,0.03358670673501856,0.01237404984974368,0.23972602739726026,7.137527036770007,1.0,0.010640389187444685,1.2711382055557414,0.9066968446278791,0.1699029126213592,0.21330348216321587,0.3040735400144196
frozenset({'subject=military'}),frozenset({'subject=foreign-policy'}),0.02863708679512109,0.05161746508750221,0.010076012020505568,0.35185185185185186,6.816527143581938,1.0,0.008597838192650635,1.463218768150711,0.8784540970260046,0.14357682619647355,0.31657519588554073,0.27352866565195333
